Frame Number,Time Stamp (ms),Buffer Index
1346,22440,0
1347,22458,0
1348,22474,0
1349,22490,0
1350,22507,0
1351,22524,0
1352,22540,0
1353,22557,0
1354,22574,0
1355,22590,0
1356,22607,0
1357,22624,0
1358,22641,0
1359,22657,0
1360,22674,0
1361,22691,0
1362,22707,0
1363,22724,0
1364,22741,0
1365,22757,0
1366,22774,0
1367,22791,0
1368,22807,0
1369,22824,0
1370,22841,0
1371,22857,0
1372,22874,0
1373,22891,0
1374,22908,0
1375,22924,0
1376,22941,0
1377,22958,0
1378,22974,0
1379,22991,0
1380,23008,0
1381,23024,0
1382,23041,0
1383,23057,0
1384,23074,0
1385,23091,0
1386,23107,0
1387,23124,0
1388,23141,0
1389,23157,0
1390,23174,0
1391,23191,0
1392,23208,0
1393,23224,0
1394,23241,0
1395,23258,0
1396,23274,0
1397,23291,0
1398,23308,0
1399,23324,0
1400,23341,0
1401,23358,0
1402,23374,0
1403,23391,0
1404,23408,0
1405,23424,0
1406,23441,0
1407,23458,0
1408,23475,0
1409,23492,0
1410,23509,0
1411,23525,0
1412,23541,0
1413,23558,0
1414,23575,0
1415,23592,0
1416,23608,0
1417,23625,0
1418,23641,0
1419,23658,0
1420,23675,0
1421,23692,0
1422,23708,0
1423,23725,0
1424,23742,0
1425,23759,0
1426,23775,0
1427,23792,0
1428,23809,0
1429,23825,0
1430,23842,0
1431,23859,0
1432,23875,0
1433,23892,0
1434,23909,0
1435,23925,0
1436,23942,0
1437,23959,0
1438,23976,0
1439,23992,0
1440,24009,0
1441,24026,0
1442,24042,0
1443,24059,0
1444,24076,0
1445,24092,0
1446,24109,0
1447,24126,0
1448,24142,0
1449,24159,0
1450,24176,0
1451,24192,0
1452,24208,0
1453,24225,0
1454,24242,0
1455,24258,0
1456,24275,0
1457,24292,0
1458,24308,0
1459,24325,0
1460,24343,0
1461,24359,0
1462,24376,0
1463,24393,0
1464,24409,0
1465,24426,0
1466,24443,0
1467,24459,0
1468,24475,0
1469,24492,0
1470,24509,0
1471,24525,0
1472,24542,0
1473,24559,0
1474,24576,0
1475,24592,0
1476,24609,0
1477,24626,0
1478,24642,0
1479,24659,0
1480,24676,0
1481,24692,0
1482,24709,0
1483,24726,0
1484,24743,0
1485,24759,0
1486,24776,0
1487,24793,0
1488,24810,0
1489,24826,0
1490,24843,0
1491,24859,0
1492,24876,0
1493,24893,0
1494,24910,0
1495,24926,0
1496,24943,0
1497,24960,0
1498,24977,0
1499,24993,0
1500,25009,0
1501,25026,0
1502,25043,0
1503,25060,0
1504,25076,0
1505,25093,0
1506,25110,0
1507,25126,0
1508,25143,0
1509,25160,0
1510,25177,0
1511,25194,0
1512,25210,0
1513,25227,0
1514,25244,0
1515,25260,0
1516,25276,0
1517,25293,0
1518,25310,0
1519,25326,0
1520,25344,0
1521,25360,0
1522,25377,0
1523,25393,0
1524,25411,0
1525,25427,0
1526,25444,0
1527,25461,0
1528,25477,0
1529,25494,0
1530,25511,0
1531,25526,0
1532,25544,0
1533,25561,0
1534,25577,0
1535,25594,0
1536,25610,0
1537,25627,0
1538,25644,0
